run_id,run_name,selected_id,state,created_at,run_kind,train_model,variant,probe_dtype_tag,layer,seed,probe_dtype,normalize_before_head,probe_dtype_expected,normalize_before_head_expected,train/loss,train/lm_loss,train/kl_loss,train/longfact_test_apertus/all_auc,train/longfact_test_apertus/all_f1,train/longfact_test_apertus/all_acc,train/longfact_test_apertus/all_recall_at_0.1_fpr,train/longfact_test_apertus/span_auc,train/longfact_test_apertus/span_f1,train/longfact_test_apertus/span_acc,train/longfact_test_apertus/span_recall_at_0.1_fpr,train/longfact_test_apertus/span_max_auc,train/longfact_test_apertus/span_max_f1,train/longfact_test_apertus/span_max_acc,train/longfact_test_apertus/span_max_recall_at_0.1_fpr,train/longfact_test_llama/all_auc,train/longfact_test_llama/all_f1,train/longfact_test_llama/all_acc,train/longfact_test_llama/all_recall_at_0.1_fpr,train/longfact_test_llama/span_auc,train/longfact_test_llama/span_f1,train/longfact_test_llama/span_acc,train/longfact_test_llama/span_recall_at_0.1_fpr,train/longfact_test_llama/span_max_auc,train/longfact_test_llama/span_max_f1,train/longfact_test_llama/span_max_acc,train/longfact_test_llama/span_max_recall_at_0.1_fpr
2msk68xv,apertus_no_lora_long_form_layer10_seed42,apertus_no_lora_long_form_layer10_seed42,finished,2026-03-02 14:54:28+00:00,baseline,apertus,apertus_bf16_baseline,bf16,10,42,bfloat16,,bfloat16,,0.1188635155558586,0.23610205948352816,0.0,0.8349790136283437,0.2715897169678682,,0.5489403009221808,0.823749663399917,0.43322694729578193,,0.5209513023782559,0.8682490590818475,0.6256711838404501,,0.6258733378408835,0.8250763870485456,0.2697534880358563,,0.5157472259384591,0.8139533745830329,0.4938731842897636,,0.5034862674116629,0.8574751331855613,0.6395668767196236,,0.5969430137896661
ennpfi5c,apertus_no_lora_long_form_layer10_seed43,apertus_no_lora_long_form_layer10_seed43,finished,2026-03-02 14:55:28+00:00,baseline,apertus,apertus_bf16_baseline,bf16,10,43,bfloat16,,bfloat16,,0.2892115116119385,0.18382319808006287,0.0,0.8300675186115706,0.2801368522126616,,0.5524533709293457,0.828807559160539,0.49088473601672766,,0.5408047703792729,0.8689065761865797,0.6383917626869331,,0.631282398016678,0.8226177442482394,0.26802455186734664,,0.5182340442275911,0.8186411677879629,0.5458616221819124,,0.5113087274730463,0.8577265431456805,0.6508885707066453,,0.6012626682173119
ckfvtpqq,apertus_no_lora_long_form_layer10_seed44,apertus_no_lora_long_form_layer10_seed44,finished,2026-03-02 14:55:28+00:00,baseline,apertus,apertus_bf16_baseline,bf16,10,44,bfloat16,,bfloat16,,0.14164792001247406,0.216385155916214,0.0,0.8233641459041334,0.2716896087682604,,0.5391175722837266,0.8285622203159897,0.5237544539601175,,0.5391175722837266,0.8705438410992483,0.6508443633044272,,0.6319585305386523,0.811920552468672,0.25787264768265716,,0.5020539859919729,0.8172171354570108,0.5732659162503261,,0.5134650192807114,0.8586864674778496,0.6580976863753213,,0.6050839009802292
5w54hojz,apertus_no_lora_long_form_layer20_seed42,apertus_no_lora_long_form_layer20_seed42,finished,2026-03-02 14:56:24+00:00,baseline,apertus,apertus_bf16_baseline,bf16,20,42,bfloat16,,bfloat16,,0.002515794476494193,0.23610205948352816,0.0,0.7216130788305651,0.20019447800335916,,0.3927935840247764,0.7579270098229404,0.36343211725687385,,0.42318626204728776,0.844264785180656,0.6130918262065803,,0.5715573585756142,0.7152865479674657,0.20142013178822996,,0.37936570394270874,0.7533504252780392,0.4108404977637708,,0.4119776501141103,0.8388654097938774,0.6432152805411858,,0.5658747300215983
h3qhm4bp,apertus_no_lora_long_form_layer20_seed43,apertus_no_lora_long_form_layer20_seed43,finished,2026-03-02 14:56:24+00:00,baseline,apertus,apertus_bf16_baseline,bf16,20,43,bfloat16,,bfloat16,,0.4361111521720886,0.18382319808006287,0.0,0.7325044196056973,0.21698776400110031,,0.4200661011856611,0.7675462313865282,0.377784872995601,,0.440173804516144,0.8528165969886055,0.6289351851851852,,0.5981519044399369,0.7258548789563044,0.21278362883410817,,0.40028330841268595,0.7623195228087261,0.42426054556327336,,0.42208231683324154,0.8415728147515787,0.6404207841887153,,0.5731849144376142
1sb6t3rt,apertus_no_lora_long_form_layer20_seed44,apertus_no_lora_long_form_layer20_seed44,finished,2026-03-02 14:56:24+00:00,baseline,apertus,apertus_bf16_baseline,bf16,20,44,bfloat16,,bfloat16,,0.9805268049240112,0.216385155916214,0.0,0.7097785804895088,0.2061640537214404,,0.39108327362655143,0.7545094567459225,0.3984282095031281,,0.42140661474102664,0.8473290339030696,0.6199556541019956,,0.5665990534144693,0.7136638775270779,0.20511592308933865,,0.3870465097977493,0.7570589324338984,0.4426168728302268,,0.4190131423624774,0.8377789849446498,0.6395429630201498,,0.5590629672703107
fjxaywoo,apertus_no_lora_long_form_layer26_seed42,apertus_no_lora_long_form_layer26_seed42,finished,2026-03-02 14:56:59+00:00,baseline,apertus,apertus_bf16_baseline,bf16,26,42,bfloat16,,bfloat16,,0.022064460441470143,0.23610205948352816,0.0,0.6670177726305941,0.2175095284145856,,0.3869461714470613,0.6723649946790452,0.3474862772183649,,0.3939029745533548,0.8176474139385239,0.6102060373742214,,0.5769664187514086,0.6738023828077514,0.21943093823158652,,0.3868733768788857,0.6838376003744628,0.4017663683466792,,0.3996852128747934,0.8110870464828519,0.6356324640506946,,0.0
fc3llcx0,apertus_no_lora_long_form_layer26_seed43,apertus_no_lora_long_form_layer26_seed43,finished,2026-03-02 14:58:28+00:00,baseline,apertus,apertus_bf16_baseline,bf16,26,43,bfloat16,,bfloat16,,4.096796035766602,0.18382319808006287,0.0,0.6698936929266394,0.21903579827541156,,0.3854438717729448,0.672824099653761,0.35925,,0.37804793491575567,0.8159692063559093,0.6083923950950613,,0.0,0.6799530804425895,0.22484818644345972,,0.39568741638466987,0.6860977780943553,0.411768105889833,,0.3871409459353112,0.8051164855676516,0.6270504487774683,,0.0
gtn6g9ne,apertus_no_lora_long_form_layer26_seed44,apertus_no_lora_long_form_layer26_seed44,finished,2026-03-02 14:58:28+00:00,baseline,apertus,apertus_bf16_baseline,bf16,26,44,bfloat16,,bfloat16,,0.0003512128023430705,0.216385155916214,0.0,0.6678283342388164,0.2112497938087645,,0.3773083412300368,0.6750514206774699,0.34716449199407234,,0.37661497214967526,0.816442135972021,0.5996109394667583,,0.5508226279017354,0.6739930132851973,0.21327218178241197,,0.3790823955300228,0.6863596516897853,0.40374767225325886,,0.3835051546391753,0.8022784807971455,0.624310239117106,,0.0
pk12wkry,apertus_no_lora_long_form_layer30_seed42,apertus_no_lora_long_form_layer30_seed42,finished,2026-03-02 14:58:28+00:00,baseline,apertus,apertus_bf16_baseline,bf16,30,42,bfloat16,,bfloat16,,82.0517578125,0.23610205948352816,0.0,0.5000533691196455,0.0002309682187730968,,0.0001386738160722953,0.5000632452595398,0.00023109632094657053,,0.0001386738160722953,0.5006405165769446,0.0022512381809995496,,0.001352265043948614,0.5001886318873037,0.0005347004890936827,,0.0004092232627685527,0.5001899691781541,0.0005349781288353212,,0.0004092232627685527,0.5016529637360996,0.00463960231980116,,0.0034889516530985216
